ip, bytes, time, TTL
216.58.222.36,64,66.869,53
216.58.222.36,64,67.576,53
216.58.222.36,64,79.786,53
216.58.222.36,64,102.263,53
216.58.222.36,64,127.840,53
216.58.222.36,64,80.117,53
NA,NA,NA,NA
216.58.222.36,64,1120.555,53
216.58.222.36,64,116.051,53
216.58.222.36,64,69.412,53
216.58.222.36,64,199.393,53
216.58.222.36,64,71.531,53
216.58.222.36,64,111.529,53
216.58.222.36,64,95.134,53
216.58.222.36,64,67.438,53
216.58.222.36,64,65.437,53
216.58.222.36,64,63.970,53
216.58.222.36,64,65.146,53
216.58.222.36,64,64.284,53
216.58.222.36,64,67.274,53
216.58.222.36,64,73.505,53
216.58.222.36,64,66.476,53
216.58.222.36,64,68.713,53
216.58.222.36,64,66.602,53
216.58.222.36,64,66.672,53
216.58.222.36,64,67.018,53
216.58.222.36,64,67.834,53
216.58.222.36,64,115.236,53
216.58.222.36,64,66.112,53
216.58.222.36,64,73.122,53
216.58.222.36,64,64.451,53
216.58.222.36,64,67.148,53
216.58.222.36,64,66.695,53
216.58.222.36,64,66.682,53
216.58.222.36,64,66.546,53
216.58.222.36,64,64.077,53
216.58.222.36,64,66.530,53
216.58.222.36,64,63.848,53
216.58.222.36,64,63.708,53
216.58.222.36,64,64.542,53
216.58.222.36,64,67.696,53
216.58.222.36,64,67.257,53
216.58.222.36,64,66.777,53
216.58.222.36,64,66.774,53
216.58.222.36,64,67.514,53
216.58.222.36,64,64.987,53
216.58.222.36,64,66.617,53
216.58.222.36,64,66.665,53
216.58.222.36,64,63.495,53
216.58.222.36,64,68.562,53
216.58.222.36,64,64.458,53
216.58.222.36,64,67.967,53
216.58.222.36,64,66.483,53
216.58.222.36,64,86.652,53
216.58.222.36,64,70.026,53
216.58.222.36,64,65.108,53
216.58.222.36,64,66.746,53
216.58.222.36,64,69.715,53
216.58.222.36,64,91.163,53
216.58.222.36,64,85.025,53
216.58.222.36,64,78.696,53
216.58.222.36,64,131.641,53
216.58.222.36,64,88.083,53
216.58.222.36,64,68.128,53
216.58.222.36,64,67.061,53
216.58.222.36,64,67.124,53
216.58.222.36,64,67.844,53
216.58.222.36,64,64.077,53
216.58.222.36,64,68.346,53
216.58.222.36,64,66.312,53
216.58.222.36,64,64.778,53
216.58.222.36,64,63.401,53
216.58.222.36,64,63.977,53
216.58.222.36,64,66.473,53
NA,NA,NA,NA
216.58.222.36,64,79.745,53
216.58.222.36,64,81.040,53
216.58.222.36,64,68.805,53
NA,NA,NA,NA
NA,NA,NA,NA
216.58.222.36,64,81.075,53
NA,NA,NA,NA
216.58.222.36,64,78.290,53
NA,NA,NA,NA
216.58.222.36,64,66.035,53
216.58.222.36,64,68.874,53
216.58.222.36,64,68.615,53
216.58.222.36,64,75.986,53
216.58.222.36,64,67.038,53
216.58.222.36,64,81.317,53
216.58.222.36,64,65.742,53
216.58.222.36,64,154.953,53
216.58.222.36,64,79.260,53
216.58.222.36,64,65.128,53
216.58.222.36,64,68.290,53
216.58.222.36,64,68.592,53
216.58.222.36,64,75.026,53
216.58.222.36,64,65.548,53
216.58.222.36,64,70.841,53
216.58.222.36,64,78.149,53
216.58.222.36,64,67.688,53
NA,NA,NA,NA
216.58.222.36,64,89.104,53
216.58.222.36,64,67.455,53
216.58.222.36,64,66.643,53
216.58.222.36,64,73.341,53
216.58.222.36,64,65.233,53
216.58.222.36,64,95.222,53
216.58.222.36,64,80.055,53
216.58.222.36,64,73.280,53
NA,NA,NA,NA
216.58.222.36,64,67.330,53
216.58.222.36,64,68.902,53
216.58.222.36,64,82.249,53
216.58.222.36,64,74.626,53
216.58.222.36,64,70.107,53
216.58.222.36,64,77.482,53
NA,NA,NA,NA
216.58.222.36,64,91.783,53
216.58.222.36,64,68.555,53
216.58.222.36,64,70.243,53
216.58.222.36,64,83.134,53
216.58.222.36,64,63.509,53
216.58.222.36,64,65.898,53
216.58.222.36,64,66.601,53
216.58.222.36,64,65.641,53
216.58.222.36,64,68.973,53
216.58.222.36,64,88.852,53
216.58.222.36,64,82.694,53
216.58.222.36,64,84.350,53
216.58.222.36,64,84.052,53
216.58.222.36,64,84.221,53
216.58.222.36,64,91.240,53
216.58.222.36,64,82.771,53
216.58.222.36,64,80.472,53
216.58.222.36,64,80.569,53
216.58.222.36,64,78.064,53
216.58.222.36,64,78.965,53
216.58.222.36,64,84.578,53
216.58.222.36,64,91.669,53
216.58.222.36,64,90.635,53
216.58.222.36,64,83.670,53
216.58.222.36,64,76.828,53
216.58.222.36,64,75.543,53
216.58.222.36,64,73.508,53
216.58.222.36,64,70.472,53
216.58.222.36,64,67.328,53
216.58.222.36,64,67.828,53
216.58.222.36,64,69.613,53
216.58.222.36,64,80.035,53
216.58.222.36,64,72.507,53
216.58.222.36,64,66.740,53
216.58.222.36,64,66.634,53
216.58.222.36,64,66.714,53
216.58.222.36,64,66.984,53
216.58.222.36,64,64.442,53
216.58.222.36,64,65.048,53
216.58.222.36,64,66.617,53
216.58.222.36,64,67.084,53
216.58.222.36,64,64.854,53
216.58.222.36,64,67.139,53
216.58.222.36,64,66.544,53
216.58.222.36,64,67.104,53
216.58.222.36,64,66.238,53
216.58.222.36,64,65.338,53
216.58.222.36,64,67.588,53
216.58.222.36,64,66.922,53
216.58.222.36,64,66.656,53
NA,NA,NA,NA
216.58.222.36,64,67.545,53
216.58.222.36,64,67.013,53
216.58.222.36,64,69.548,53
216.58.222.36,64,68.847,53
NA,NA,NA,NA
216.58.222.36,64,69.911,53
216.58.222.36,64,87.954,53
NA,NA,NA,NA
216.58.222.36,64,67.542,53
216.58.222.36,64,73.502,53
NA,NA,NA,NA
216.58.222.36,64,82.514,53
216.58.222.36,64,90.757,53
216.58.222.36,64,76.388,53
216.58.222.36,64,82.572,53
216.58.222.36,64,77.223,53
216.58.222.36,64,66.323,53
216.58.222.36,64,67.807,53
216.58.222.36,64,73.401,53
216.58.222.36,64,93.801,53
216.58.222.36,64,149.280,53
216.58.222.36,64,76.697,53
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
216.58.222.36,64,71.507,53
216.58.222.36,64,68.263,53
216.58.222.36,64,68.472,53
216.58.222.36,64,158.817,53
216.58.222.36,64,81.503,53
216.58.222.36,64,109.702,53
216.58.222.36,64,97.347,53
216.58.222.36,64,74.536,53
216.58.222.36,64,68.686,53
216.58.222.36,64,66.701,53
216.58.222.36,64,78.435,53
216.58.222.36,64,86.147,53
NA,NA,NA,NA
216.58.222.36,64,85.495,53
NA,NA,NA,NA
216.58.222.36,64,128.440,53
NA,NA,NA,NA
216.58.222.36,64,66.894,53
216.58.222.36,64,68.964,53
NA,NA,NA,NA
216.58.222.36,64,74.882,53
216.58.222.36,64,102.140,53
216.58.222.36,64,358.173,53
216.58.222.36,64,124.301,53
216.58.222.36,64,68.895,53
216.58.222.36,64,192.202,53
216.58.222.36,64,77.988,53
216.58.222.36,64,67.628,53
216.58.222.36,64,63.551,53
216.58.222.36,64,66.771,53
216.58.222.36,64,66.807,53
216.58.222.36,64,66.564,53
216.58.222.36,64,66.320,53
216.58.222.36,64,67.166,53
216.58.222.36,64,66.734,53
216.58.222.36,64,67.038,53
216.58.222.36,64,66.736,53
216.58.222.36,64,71.732,53
216.58.222.36,64,68.374,53
216.58.222.36,64,76.467,53
216.58.222.36,64,66.362,53
216.58.222.36,64,67.422,53
216.58.222.36,64,66.606,53
216.58.222.36,64,75.571,53
216.58.222.36,64,68.192,53
216.58.222.36,64,65.967,53
216.58.222.36,64,67.742,53
216.58.222.36,64,65.049,53
216.58.222.36,64,67.108,53
NA,NA,NA,NA
216.58.222.36,64,66.680,53
216.58.222.36,64,67.311,53
216.58.222.36,64,66.654,53
216.58.222.36,64,79.952,53
216.58.222.36,64,66.690,53
216.58.222.36,64,75.938,53
216.58.222.36,64,67.177,53
216.58.222.36,64,67.822,53
216.58.222.36,64,66.549,53
NA,NA,NA,NA
216.58.222.36,64,75.000,53
NA,NA,NA,NA
216.58.222.36,64,66.940,53
216.58.222.36,64,65.566,53
216.58.222.36,64,78.743,53
216.58.222.36,64,64.543,53
216.58.222.36,64,67.376,53
216.58.222.36,64,69.852,53
216.58.222.36,64,69.925,53
216.58.222.36,64,83.280,53
216.58.222.36,64,67.111,53
216.58.222.36,64,73.264,53
216.58.222.36,64,71.573,53
NA,NA,NA,NA
216.58.222.36,64,67.124,53
216.58.222.36,64,66.763,53
216.58.222.36,64,70.941,53
216.58.222.36,64,67.519,53
216.58.222.36,64,71.985,53
216.58.222.36,64,68.489,53
216.58.222.36,64,68.346,53
216.58.222.36,64,65.752,53
216.58.222.36,64,66.183,53
216.58.222.36,64,72.665,53
216.58.222.36,64,66.764,53
216.58.222.36,64,66.271,53
216.58.222.36,64,63.837,53
216.58.222.36,64,66.805,53
216.58.222.36,64,67.799,53
216.58.222.36,64,67.093,53
216.58.222.36,64,66.458,53
216.58.222.36,64,65.559,53
216.58.222.36,64,66.479,53
216.58.222.36,64,69.803,53
216.58.222.36,64,63.768,53
216.58.222.36,64,65.000,53
216.58.222.36,64,63.616,53
216.58.222.36,64,67.793,53
216.58.222.36,64,66.712,53
216.58.222.36,64,68.343,53
216.58.222.36,64,66.241,53
216.58.222.36,64,66.077,53
216.58.222.36,64,66.220,53
216.58.222.36,64,66.960,53
216.58.222.36,64,66.948,53
216.58.222.36,64,66.354,53
216.58.222.36,64,67.315,53
216.58.222.36,64,66.693,53
216.58.222.36,64,66.635,53
216.58.222.36,64,67.658,53
216.58.222.36,64,67.567,53
216.58.222.36,64,84.347,53
216.58.222.36,64,76.823,53
216.58.222.36,64,67.924,53
216.58.222.36,64,69.093,53
216.58.222.36,64,72.981,53
216.58.222.36,64,66.341,53
216.58.222.36,64,70.369,53
216.58.222.36,64,66.118,53
216.58.222.36,64,68.004,53
216.58.222.36,64,66.452,53
216.58.222.36,64,95.082,53
216.58.222.36,64,81.260,53
216.58.222.36,64,66.719,53
216.58.222.36,64,66.518,53
216.58.222.36,64,67.170,53
216.58.222.36,64,66.374,53
216.58.222.36,64,69.553,53
216.58.222.36,64,66.663,53
216.58.222.36,64,63.788,53
216.58.222.36,64,70.871,53
216.58.222.36,64,67.189,53
216.58.222.36,64,66.699,53
216.58.222.36,64,70.387,53
